STATEFP,GEOID,county,state,StateAb,CountperGEOID
48,48057,Calhoun,Texas,TX,46
48,48007,Aransas,Texas,TX,46
48,48391,Refugio,Texas,TX,25
48,48025,Bee,Texas,TX,23
48,48297,Live Oak,Texas,TX,19
48,48311,McMullen,Texas,TX,25
48,48163,Frio,Texas,TX,19
48,48013,Atascosa,Texas,TX,24
48,48463,Uvalde,Texas,TX,8
48,48325,Medina,Texas,TX,8
48,48385,Real,Texas,TX,6
48,48137,Edwards,Texas,TX,13
48,48267,Kimble,Texas,TX,5
48,48413,Schleicher,Texas,TX,4
48,48435,Sutton,Texas,TX,5
12,12013,Calhoun,Florida,FL,32
12,12005,Bay,Florida,FL,62
13,13253,Seminole,Georgia,GA,16
12,12063,Jackson,Florida,FL,35
13,13007,Baker,Georgia,GA,26
13,13201,Miller,Georgia,GA,26
13,13205,Mitchell,Georgia,GA,30
13,13087,Decatur,Georgia,GA,33
13,13095,Dougherty,Georgia,GA,18
13,13177,Lee,Georgia,GA,20
13,13093,Dooly,Georgia,GA,16
13,13315,Wilcox,Georgia,GA,23
13,13081,Crisp,Georgia,GA,14
13,13321,Worth,Georgia,GA,34
13,13235,Pulaski,Georgia,GA,10
13,13091,Dodge,Georgia,GA,25
13,13175,Laurens,Georgia,GA,22
13,13167,Johnson,Georgia,GA,14
13,13033,Burke,Georgia,GA,29
13,13163,Jefferson,Georgia,GA,16
45,45003,Aiken,South Carolina,SC,33
45,45011,Barnwell,South Carolina,SC,19
45,45075,Orangeburg,South Carolina,SC,61
45,45017,Calhoun,South Carolina,SC,29
45,45079,Richland,South Carolina,SC,47
45,45061,Lee,South Carolina,SC,32
45,45085,Sumter,South Carolina,SC,41
45,45031,Darlington,South Carolina,SC,36
45,45069,Marlboro,South Carolina,SC,35
37,37155,Robeson,North Carolina,NC,42
45,45033,Dillon,South Carolina,SC,24
37,37163,Sampson,North Carolina,NC,57
37,37051,Cumberland,North Carolina,NC,36
37,37191,Wayne,North Carolina,NC,31
37,37117,Martin,North Carolina,NC,27
37,37079,Greene,North Carolina,NC,20
37,37147,Pitt,North Carolina,NC,28
37,37015,Bertie,North Carolina,NC,29
37,37139,Pasquotank,North Carolina,NC,25
37,37143,Perquimans,North Carolina,NC,21
37,37041,Chowan,North Carolina,NC,16
