GEOID,county,state,NUMPOINTS
"21007",Ballard,Kentucky,"7"
"21017",Bourbon,Kentucky,"2"
"21031",Butler,Kentucky,"3"
"21065",Estill,Kentucky,"4"
"21069",Fleming,Kentucky,"5"
"21093",Hardin,Kentucky,"17"
"21099",Hart,Kentucky,"13"
"21131",Leslie,Kentucky,"3"
"21151",Madison,Kentucky,"10"
"21155",Marion,Kentucky,"5"
"21179",Nelson,Kentucky,"8"
"17091",Kankakee,Illinois,"21"
"17187",Warren,Illinois,"21"
"17197",Will,Illinois,"47"
"18027",Daviess,Indiana,"13"
"18061",Harrison,Indiana,"11"
"01001",Autauga,Alabama,"19"
"01005",Barbour,Alabama,"16"
"01023",Choctaw,Alabama,"9"
"01035",Conecuh,Alabama,"21"
"01051",Elmore,Alabama,"21"
"01055",Etowah,Alabama,"20"
"01065",Hale,Alabama,"20"
"01089",Madison,Alabama,"46"
"01113",Russell,Alabama,"21"
"01117",Shelby,Alabama,"19"
"05011",Bradley,Arkansas,"16"
"05015",Carroll,Arkansas,"12"
"05019",Clark,Arkansas,"27"
"05025",Cleveland,Arkansas,"8"
"05063",Independence,Arkansas,"31"
"05067",Jackson,Arkansas,"33"
"05121",Randolph,Arkansas,"13"
"06001",Alameda,California,"4"
"06003",Alpine,California,"0"
"06005",Amador,California,"0"
"06013",Contra Costa,California,"4"
"06019",Fresno,California,"24"
"06023",Humboldt,California,"1"
"06033",Lake,California,"0"
"06037",Los Angeles,California,"41"
"06047",Merced,California,"17"
"06057",Nevada,California,"0"
"06081",San Mateo,California,"2"
"06085",Santa Clara,California,"6"
"06115",Yuba,California,"1"
"08013",Boulder,Colorado,"9"
"08029",Delta,Colorado,"2"
"08049",Grand,Colorado,"1"
"08077",Mesa,Colorado,"8"
"08083",Montezuma,Colorado,"2"
"08091",Ouray,Colorado,"0"
"09009",New Haven,Connecticut,"10"
"11001",District of Columbia,District of Columbia,"2"
"12009",Brevard,Florida,"97"
"12023",Columbia,Florida,"17"
"12039",Gadsden,Florida,"25"
"12055",Highlands,Florida,"32"
"12065",Jefferson,Florida,"11"
"12073",Leon,Florida,"17"
"12095",Orange,Florida,"50"
"12107",Putnam,Florida,"43"
"12123",Taylor,Florida,"13"
"12127",Volusia,Florida,"78"
"12131",Walton,Florida,"39"
"12133",Washington,Florida,"23"
"13009",Baldwin,Georgia,"1"
"13027",Brooks,Georgia,"8"
"13103",Effingham,Georgia,"8"
"13121",Fulton,Georgia,"18"
"13141",Hancock,Georgia,"2"
"13149",Heard,Georgia,"5"
"13179",Liberty,Georgia,"8"
"13183",Long,Georgia,"1"
"13189",McDuffie,Georgia,"5"
"13209",Montgomery,Georgia,"3"
"13229",Pierce,Georgia,"12"
"13267",Tattnall,Georgia,"11"
"13271",Telfair,Georgia,"5"
"13291",Union,Georgia,"3"
"13305",Wayne,Georgia,"10"
"13319",Wilkinson,Georgia,"2"
"16015",Boise,Idaho,"0"
"16023",Butte,Idaho,"5"
"16025",Camas,Idaho,"4"
"16027",Canyon,Idaho,"6"
"16037",Custer,Idaho,"1"
"16039",Elmore,Idaho,"2"
"16043",Fremont,Idaho,"2"
"16061",Lewis,Idaho,"0"
"16063",Lincoln,Idaho,"6"
"16085",Valley,Idaho,"0"
"19175",Union,Iowa,"24"
"20053",Ellsworth,Kansas,"39"
"20095",Kingman,Kansas,"43"
"20135",Ness,Kansas,"34"
"20199",Wallace,Kansas,"32"
"48011",Armstrong,Texas,"33"
"48025",Bee,Texas,"33"
"48035",Bosque,Texas,"33"
"48053",Burnet,Texas,"31"
"48055",Caldwell,Texas,"21"
"48083",Coleman,Texas,"30"
"29057",Dade,Missouri,"13"
"29143",New Madrid,Missouri,"17"
"29157",Perry,Missouri,"21"
"29189",St. Louis,Missouri,"23"
"29199",Scotland,Missouri,"8"
"29207",Stoddard,Missouri,"27"
"30015",Chouteau,Montana,"14"
"30023",Deer Lodge,Montana,"1"
"30029",Flathead,Montana,"2"
"30039",Granite,Montana,"1"
"30057",Madison,Montana,"2"
"30071",Phillips,Montana,"12"
"30077",Powell,Montana,"3"
"30085",Roosevelt,Montana,"15"
"30087",Rosebud,Montana,"10"
"30105",Valley,Montana,"29"
"31091",Hooker,Nebraska,"12"
"53065",Stevens,Washington,"5"
"21189",Owsley,Kentucky,"1"
"21195",Pike,Kentucky,"1"
"21217",Taylor,Kentucky,"6"
"21237",Wolfe,Kentucky,"1"
"21239",Woodford,Kentucky,"4"
"22001",Acadia,Louisiana,"57"
"22009",Avoyelles,Louisiana,"31"
"22011",Beauregard,Louisiana,"36"
"22029",Concordia,Louisiana,"29"
"22031",De Soto,Louisiana,"32"
"22033",East Baton Rouge,Louisiana,"30"
"22047",Iberville,Louisiana,"12"
"22071",Orleans,Louisiana,"15"
"22081",Red River,Louisiana,"7"
"22099",St. Martin,Louisiana,"15"
"22119",Webster,Louisiana,"34"
"23013",Knox,Maine,"0"
"23015",Lincoln,Maine,"1"
"18103",Miami,Indiana,"11"
"18129",Posey,Indiana,"11"
"18147",Spencer,Indiana,"6"
"19001",Adair,Iowa,"20"
"19045",Clinton,Iowa,"32"
"19083",Hardin,Iowa,"19"
"19111",Lee,Iowa,"25"
"31167",Stanton,Nebraska,"16"
"34003",Bergen,New Jersey,"8"
"34007",Camden,New Jersey,"5"
"34013",Essex,New Jersey,"2"
"34023",Middlesex,New Jersey,"10"
"34041",Warren,New Jersey,"5"
"35007",Colfax,New Mexico,"15"
"35011",De Baca,New Mexico,"9"
"35051",Sierra,New Mexico,"5"
"36013",Chautauqua,New York,"21"
"36029",Erie,New York,"18"
"36043",Herkimer,New York,"4"
"36045",Jefferson,New York,"4"
"36047",Kings,New York,"0"
"36053",Madison,New York,"3"
"36065",Oneida,New York,"15"
"36077",Otsego,New York,"11"
"36081",Queens,New York,"1"
"36091",Saratoga,New York,"6"
"36115",Washington,New York,"5"
"37007",Anson,North Carolina,"5"
"37027",Caldwell,North Carolina,"7"
"37039",Cherokee,North Carolina,"4"
"37049",Craven,North Carolina,"24"
"37055",Dare,North Carolina,"18"
"37059",Davie,North Carolina,"4"
"37069",Franklin,North Carolina,"6"
"37083",Halifax,North Carolina,"9"
"37091",Hertford,North Carolina,"9"
"37093",Hoke,North Carolina,"9"
"37099",Jackson,North Carolina,"3"
"37111",McDowell,North Carolina,"4"
"37117",Martin,North Carolina,"14"
"37127",Nash,North Carolina,"10"
"37165",Scotland,North Carolina,"7"
"37175",Transylvania,North Carolina,"3"
"37199",Yancey,North Carolina,"1"
"38017",Cass,North Dakota,"71"
"38037",Grant,North Dakota,"24"
"38085",Sioux,North Dakota,"12"
"38099",Walsh,North Dakota,"29"
"39035",Cuyahoga,Ohio,"12"
"39039",Defiance,Ohio,"5"
"39043",Erie,Ohio,"10"
"39125",Paulding,Ohio,"7"
"40065",Jackson,Oklahoma,"61"
"48103",Crane,Texas,"18"
"48141",El Paso,Texas,"6"
"48151",Fisher,Texas,"42"
"48161",Freestone,Texas,"9"
"48167",Galveston,Texas,"81"
"48199",Hardin,Texas,"24"
"48213",Henderson,Texas,"27"
"48229",Hudspeth,Texas,"11"
"48241",Jasper,Texas,"33"
"48245",Jefferson,Texas,"86"
"48261",Kenedy,Texas,"5"
"48289",Leon,Texas,"13"
"48317",Martin,Texas,"38"
"48333",Mills,Texas,"12"
"48347",Nacogdoches,Texas,"33"
"48361",Orange,Texas,"33"
"48371",Pecos,Texas,"62"
"48395",Robertson,Texas,"9"
"48423",Smith,Texas,"52"
"48427",Starr,Texas,"3"
"48457",Tyler,Texas,"9"
"48471",Walker,Texas,"15"
"48475",Ward,Texas,"16"
"48477",Washington,Texas,"23"
"48499",Wood,Texas,"30"
"49001",Beaver,Utah,"4"
"49003",Box Elder,Utah,"8"
