FIPS_Code,count
04009,1136
04021,787
04019,1743
04003,1585
04023,1104
04025,1171
04013,1064
48215,624
48427,461
48479,483
48061,760
48409,660
06107,1620
06093,1623
53031,592
41051,793
41039,1276
41003,704
41033,1344
53007,1148
53059,866
53015,469
41017,901
41041,477
41043,1011
53041,530
41029,1549
41007,581
53049,483
53067,507
53077,1176
53053,859
53009,824
41019,1358
41009,184
41005,887
53073,872
41065,915
41047,966
41031,813
53037,1080
53045,485
53071,645
41067,447
53061,612
41027,871
53033,783
53047,1114
41053,509
53057,599
48247,292
48261,465
48273,619
48297,310
48047,283
56035,794
04005,1780
04027,504
35035,759
48043,1410
48109,898
48139,355
48377,1045
48229,691
48389,358
48141,594
35013,792
08077,916
08103,597
49019,1029
49047,1138
27005,621
23019,861
26129,324
27003,738
27045,654
26019,557
26109,583
26041,612
26043,379
25027,1218
09011,1069
26031,805
26069,500
26083,726
25005,1067
26013,529
26039,463
25015,1212
27059,544
23031,950
23009,721
27075,681
09005,1128
25003,1244
27041,444
25001,995
26065,877
27071,498
26055,542
27111,573
27021,732
09013,858
27057,541
26003,549
24023,263
27001,639
26061,636
23029,655
25023,1080
09009,1268
26035,431
23021,674
23007,749
26097,663
26143,459
27169,785
26047,749
26105,406
27007,558
09003,1134
26137,364
27087,425
23013,794
26103,688
27115,739
26053,517
26131,492
23011,798
27017,532
26133,246
26001,474
26063,486
26089,665
27029,741
27137,927
26011,443
26073,415
27077,609
26095,447
26153,673
27031,647
23017,865
27163,867
26033,723
23003,775
23005,873
23001,731
25017,1382
26135,377
23027,738
26119,395
23025,774
26051,231
25011,1182
27135,530
27035,632
26071,408
23023,557
26029,670
23015,615
27061,672
26007,502
27065,365
55035,505
33001,601
55097,804
42113,684
54075,879
42069,895
55073,620
55117,856
55099,511
55085,583
42103,924
55125,611
55051,510
36109,956
55107,528
50001,914
55061,373
36121,332
33015,899
50011,524
42117,634
55031,826
33005,873
55003,760
55067,495
36025,732
55019,523
55123,724
55041,632
50025,897
55083,906
34031,1000
36101,436
36043,666
36013,555
55091,422
51113,765
50027,805
50003,784
33007,876
54093,628
55071,718
55129,625
55009,959
33011,869
36039,667
50015,539
36089,854
55033,569
33003,824
55021,914
42127,861
55005,574
55001,809
36081,1158
36053,850
55013,601
51139,917
36045,829
42035,780
36111,1152
36067,1022
50019,651
50017,576
36115,1014
54083,735
55119,651
36029,1047
50021,967
55109,656
50009,558
36095,375
55078,524
55135,732
55037,558
55115,656
36041,580
55113,658
33017,931
33013,675
55007,847
36049,626
42107,836
42061,1053
36105,568
36083,961
55075,873
36123,529
54023,740
36031,953
55141,737
36019,606
33019,616
36065,1035
50023,507
36077,421
36015,793
36033,422
50007,989
50005,553
44007,956
42123,854
42081,822
33009,873
36009,956
42027,1052
34037,1307
55017,681
55029,783
42105,528
42115,696
42131,736
42089,1078
55131,598
55121,685
55069,774
48281,265
48177,709
48309,875
48025,241
48131,323
48127,316
48175,360
48007,559
48249,360
48489,428
48255,475
48317,136
48013,242
48121,508
35043,1178
35049,813
35039,1209
35045,991
06079,1412
06053,1400
08115,245
08125,309
08009,497
35011,217
35015,694
35027,804
08007,441
08041,911
16087,513
08067,595
08003,441
08021,350
16085,869
04001,1378
16049,1103
16057,637
16031,695
08111,415
08091,199
08027,494
08105,306
04007,1024
04015,1196
25013,1174
08023,264
08055,447
08119,405
08083,804
32007,1301
49029,336
49031,736
49005,870
35003,734
35033,650
49003,791
49015,925
32017,874
49057,526
49043,888
49013,1133
49007,635
35028,559
49055,840
35047,901
35007,634
49001,920
35017,854
35051,746
49021,763
32003,1194
49051,765
35006,522
49027,836
35053,973
49011,454
49053,1351
49035,987
32033,848
56037,675
49039,789
35055,981
49049,1047
49025,1072
49041,978
32023,1412
49023,892
49045,759
49017,1195
49037,1306
08045,638
08081,657
08029,439
08113,468
08037,441
04017,1088
08085,674
56041,443
56007,1061
56003,731
56023,706
56001,1133
56013,1085
32011,536
13111,190
37175,705
37199,633
37121,684
51173,808
37087,834
37011,619
37099,780
