GEOID,county,state,HISTO_0,HISTO_1,HISTO_NODATA
"21007",Ballard,Kentucky,"496484","290784","0"
"21017",Bourbon,Kentucky,"760958","78240","0"
"21031",Butler,Kentucky,"970412","271577","0"
"21065",Estill,Kentucky,"641802","93986","0"
"21069",Fleming,Kentucky,"924687","86320","0"
"21093",Hardin,Kentucky,"1646905","166980","0"
"21099",Hart,Kentucky,"1132754","69590","0"
"21131",Leslie,Kentucky,"1119513","44322","0"
"21151",Madison,Kentucky,"1179466","96087","0"
"21155",Marion,Kentucky,"943650","54576","0"
"21179",Nelson,Kentucky,"1087896","132492","0"
"17091",Kankakee,Illinois,"1858666","101805","0"
"17187",Warren,Illinois,"1461418","101207","0"
"17197",Will,Illinois,"2287338","156584","0"
"18027",Daviess,Indiana,"988749","268436","0"
"18061",Harrison,Indiana,"1309785","90442","0"
"01001",Autauga,Alabama,"1451616","287625","0"
"01005",Barbour,Alabama,"2336219","266601","0"
"01023",Choctaw,Alabama,"2151369","499217","0"
"01035",Conecuh,Alabama,"2207522","246956","0"
"01051",Elmore,Alabama,"1507558","383255","0"
"01055",Etowah,Alabama,"1330181","248883","0"
"01065",Hale,Alabama,"1352449","536006","0"
"01089",Madison,Alabama,"1883443","455455","0"
"01113",Russell,Alabama,"1572876","289914","0"
"01117",Shelby,Alabama,"2080962","248537","0"
"05011",Bradley,Arkansas,"1372080","506786","0"
"05015",Carroll,Arkansas,"1727053","110430","0"
"05019",Clark,Arkansas,"1786856","753909","0"
"05025",Cleveland,Arkansas,"1465108","257930","0"
"05063",Independence,Arkansas,"1703292","517182","0"
"05067",Jackson,Arkansas,"1225409","620220","0"
"05121",Randolph,Arkansas,"1349898","537991","0"
"06001",Alameda,California,"1971882","188422","0"
"06003",Alpine,California,"2110054","28214","0"
"06005",Amador,California,"1689608","54301","0"
"06013",Contra Costa,California,"1833165","356360","0"
"06019",Fresno,California,"16456556","841802","0"
"06023",Humboldt,California,"9738714","652373","0"
"06033",Lake,California,"3486032","339550","0"
"06037",Los Angeles,California,"10877241","924520","0"
"06047",Merced,California,"4445836","1248431","0"
"06057",Nevada,California,"2751504","51778","0"
"06081",San Mateo,California,"1240274","77949","0"
"06085",Santa Clara,California,"3528657","213234","0"
"06115",Yuba,California,"1520592","332680","0"
"08013",Boulder,Colorado,"2004385","126695","0"
"08029",Delta,Colorado,"3121247","183923","0"
"08049",Grand,Colorado,"5154471","225426","0"
"08077",Mesa,Colorado,"9339324","275955","0"
"08083",Montezuma,Colorado,"5673142","199242","0"
"08091",Ouray,Colorado,"1531514","28813","0"
"09009",New Haven,Connecticut,"1609418","176951","0"
"11001",District of Columbia,District of Columbia,"159942","36629","0"
"12009",Brevard,Florida,"1525064","2174778","26549"
"12023",Columbia,Florida,"1693996","612041","0"
"12039",Gadsden,Florida,"1287997","233210","0"
"12055",Highlands,Florida,"2376863","807091","0"
"12065",Jefferson,Florida,"1029865","732984","649"
"12073",Leon,Florida,"1454252","565277","0"
"12095",Orange,Florida,"2060412","826161","0"
"12107",Putnam,Florida,"1655954","723684","0"
"12123",Taylor,Florida,"1298817","1729517","3347"
"12127",Volusia,Florida,"2174753","1453153","15766"
"12131",Walton,Florida,"2475286","827699","397"
"12133",Washington,Florida,"1306980","465640","0"
"13009",Baldwin,Georgia,"695862","76326","0"
"13027",Brooks,Georgia,"1203643","228598","0"
"13103",Effingham,Georgia,"1019762","370325","0"
"13121",Fulton,Georgia,"1445306","92542","0"
"13141",Hancock,Georgia,"1303850","71267","0"
"13149",Heard,Georgia,"791453","75320","0"
"13179",Liberty,Georgia,"787885","770012","0"
"13183",Long,Georgia,"721076","441395","0"
"13189",McDuffie,Georgia,"714141","52619","0"
"13209",Montgomery,Georgia,"617668","86861","0"
"13229",Pierce,Georgia,"792281","195726","0"
"13267",Tattnall,Georgia,"1188027","217029","0"
"13271",Telfair,Georgia,"1060529","217379","0"
"13291",Union,Georgia,"890380","56787","0"
"13305",Wayne,Georgia,"1485642","381179","0"
"13319",Wilkinson,Georgia,"1105502","195042","0"
"16015",Boise,Idaho,"5438729","49634","0"
"16023",Butte,Idaho,"6152311","289932","0"
"16025",Camas,Idaho,"2911788","192676","0"
"16027",Canyon,Idaho,"1436973","300262","0"
"16037",Custer,Idaho,"13868025","343715","0"
"16039",Elmore,Idaho,"8609719","313574","0"
"16043",Fremont,Idaho,"5102551","353724","0"
"16061",Lewis,Idaho,"1362222","18521","0"
"16063",Lincoln,Idaho,"3369641","100682","0"
"16085",Valley,Idaho,"10341542","405663","0"
"19175",Union,Iowa,"1125453","99764","0"
"20053",Ellsworth,Kansas,"1876808","204576","0"
"20095",Kingman,Kansas,"2165607","328536","0"
"20135",Ness,Kansas,"2798642","295757","0"
"20199",Wallace,Kansas,"2344348","285534","0"
"48011",Armstrong,Texas,"2450478","179154","0"
"48025",Bee,Texas,"2345695","187874","0"
"48035",Bosque,Texas,"2615187","269798","0"
"48053",Burnet,Texas,"2728136","211078","0"
"48055",Caldwell,Texas,"1363314","211223","0"
"48083",Coleman,Texas,"3268855","418951","0"
"29057",Dade,Missouri,"1310067","146372","0"
"29143",New Madrid,Missouri,"1278125","727438","0"
"29157",Perry,Missouri,"1145139","248311","0"
"29189",St. Louis,Missouri,"1237282","268834","0"
"29199",Scotland,Missouri,"1124274","139895","0"
"29207",Stoddard,Missouri,"1705062","680467","0"
"30015",Chouteau,Montana,"10906183","595340","0"
"30023",Deer Lodge,Montana,"2067859","65331","0"
"30029",Flathead,Montana,"14250460","871731","3506"
"30039",Granite,Montana,"4875676","110931","0"
"30057",Madison,Montana,"9967529","402950","0"
"30071",Phillips,Montana,"13654686","1343508","732"
"30077",Powell,Montana,"6541521","170543","0"
"30085",Roosevelt,Montana,"6151610","667307","0"
"30087",Rosebud,Montana,"13933790","526112","0"
"30105",Valley,Montana,"13110362","1455209","212"
"31091",Hooker,Nebraska,"1994824","81432","0"
"53065",Stevens,Washington,"6921675","388773","591"
"21189",Owsley,Kentucky,"540460","30154","0"
"21195",Pike,Kentucky,"2157208","112360","0"
"21217",Taylor,Kentucky,"728316","68771","0"
"21237",Wolfe,Kentucky,"609976","31065","0"
"21239",Woodford,Kentucky,"510529","42009","0"
"22001",Acadia,Louisiana,"1338217","553907","0"
"22009",Avoyelles,Louisiana,"855250","1636098","0"
"22011",Beauregard,Louisiana,"2755709","598747","0"
"22029",Concordia,Louisiana,"252027","1898241","0"
"22031",De Soto,Louisiana,"2087138","486829","0"
"22033",East Baton Rouge,Louisiana,"864210","489026","0"
"22047",Iberville,Louisiana,"437633","1441153","0"
"22071",Orleans,Louisiana,"244258","757721","0"
"22081",Red River,Louisiana,"634202","523522","0"
"22099",St. Martin,Louisiana,"387031","1962522","0"
"22119",Webster,Louisiana,"1355200","414094","0"
"23013",Knox,Maine,"1015071","161413","0"
"23015",Lincoln,Maine,"1273073","212631","0"
"18103",Miami,Indiana,"994625","91151","0"
"18129",Posey,Indiana,"697940","509427","0"
"18147",Spencer,Indiana,"886865","268240","0"
"19001",Adair,Iowa,"1507598","133534","0"
"19045",Clinton,Iowa,"1648548","395322","0"
"19083",Hardin,Iowa,"1493969","146266","0"
"19111",Lee,Iowa,"1296547","253942","0"
"31167",Stanton,Nebraska,"1061561","178795","0"
"34003",Bergen,New Jersey,"624018","84936","0"
"34007",Camden,New Jersey,"588284","66006","0"
"34013",Essex,New Jersey,"333205","39338","0"
"34023",Middlesex,New Jersey,"805090","108237","0"
"34041",Warren,New Jersey,"984291","59129","0"
"35007",Colfax,New Mexico,"10151910","691583","0"
"35011",De Baca,New Mexico,"6311697","405134","0"
"35051",Sierra,New Mexico,"11313925","880184","0"
"36013",Chautauqua,New York,"2719167","401751","1049"
"36029",Erie,New York,"2755586","267331","10761"
"36043",Herkimer,New York,"3847862","347948","0"
"36045",Jefferson,New York,"3348697","346711","178792"
"36047",Kings,New York,"184121","53549","0"
"36053",Madison,New York,"1706404","196690","0"
"36065",Oneida,New York,"3222853","396452","0"
"36077",Otsego,New York,"2646970","276051","0"
"36081",Queens,New York,"286545","73829","0"
"36091",Saratoga,New York,"2164044","264341","0"
"36115",Washington,New York,"2218146","216042","0"
"37007",Anson,North Carolina,"1398620","146764","0"
"37027",Caldwell,North Carolina,"1295557","70057","0"
"37039",Cherokee,North Carolina,"1266416","76712","0"
"37049",Craven,North Carolina,"1647256","454937","0"
"37055",Dare,North Carolina,"183753","1008609","0"
"37059",Davie,North Carolina,"697918","69146","0"
"37069",Franklin,North Carolina,"1336136","87163","0"
"37083",Halifax,North Carolina,"1745839","355691","0"
"37091",Hertford,North Carolina,"832084","200126","0"
"37093",Hoke,North Carolina,"1045623","81416","0"
"37099",Jackson,North Carolina,"1375551","48763","0"
"37111",McDowell,North Carolina,"1209818","71792","0"
"37117",Martin,North Carolina,"1021930","292412","0"
"37127",Nash,North Carolina,"1423771","138187","0"
"37165",Scotland,North Carolina,"828264","94262","0"
"37175",Transylvania,North Carolina,"1026595","68386","0"
"37199",Yancey,North Carolina,"872367","28842","0"
"38017",Cass,North Dakota,"4191609","895816","0"
"38037",Grant,North Dakota,"4540732","253821","0"
"38085",Sioux,North Dakota,"3028518","218247","0"
"38099",Walsh,North Dakota,"3272090","451833","0"
"39035",Cuyahoga,Ohio,"1244971","76176","1415"
"39039",Defiance,Ohio,"1096620","95182","0"
"39043",Erie,Ohio,"664342","65109","2880"
"39125",Paulding,Ohio,"1087459","117864","0"
"40065",Jackson,Oklahoma,"1860681","453681","0"
"48103",Crane,Texas,"2091955","171116","0"
"48141",El Paso,Texas,"1840297","1080707","159"
"48151",Fisher,Texas,"2284684","310208","0"
"48161",Freestone,Texas,"2100932","465599","0"
"48167",Galveston,Texas,"569056","636806","257"
"48199",Hardin,Texas,"2007059","575670","0"
"48213",Henderson,Texas,"2125365","604007","0"
"48229",Hudspeth,Texas,"11730977","1425194","808"
"48241",Jasper,Texas,"2179051","611322","0"
"48245",Jefferson,Texas,"1077309","1758737","267"
"48261",Kenedy,Texas,"3271958","1170408","107"
"48289",Leon,Texas,"2554601","555448","0"
"48317",Martin,Texas,"2455969","179170","0"
"48333",Mills,Texas,"1982726","174953","0"
"48347",Nacogdoches,Texas,"2319940","503848","0"
"48361",Orange,Texas,"428323","663990","0"
"48371",Pecos,Texas,"12842884","867605","0"
"48395",Robertson,Texas,"1950041","540193","0"
"48423",Smith,Texas,"2392487","340477","0"
"48427",Starr,Texas,"3106725","427079","720"
"48457",Tyler,Texas,"2270584","422247","0"
"48471",Walker,Texas,"1882627","424198","0"
"48475",Ward,Texas,"2234475","171482","0"
"48477",Washington,Texas,"1470351","318867","0"
"48499",Wood,Texas,"1615284","386706","0"
"49001",Beaver,Utah,"6979082","462499","0"
"49003",Box Elder,Utah,"11957795","7403310","0"
"49011",Davis,Utah,"727617","1100480","0"
"40073",Kingfisher,Oklahoma,"2151341","456145","0"
"40079",Le Flore,Oklahoma,"3788152","840569","0"
"40145",Wagoner,Oklahoma,"1182210","517541","0"
"41005",Clackamas,Oregon,"5247057","170827","0"
"41021",Gilliam,Oregon,"3344551","173731","0"
"41033",Josephine,Oregon,"4627894","94203","0"
"41035",Klamath,Oregon,"15353899","2307397","0"
"41039",Lane,Oregon,"12509744","790822","0"
"41043",Linn,Oregon,"6052421","585449","0"
"41051",Multnomah,Oregon,"1128110","211278","0"
"41055",Sherman,Oregon,"2296399","95427","0"
"41061",Union,Oregon,"5622621","245020","0"
"42005",Armstrong,Pennsylvania,"1796125","114194","0"
"42029",Chester,Pennsylvania,"2084029","101533","0"
"42035",Clinton,Pennsylvania,"2424812","156786","0"
"42059",Greene,Pennsylvania,"1581862","81019","0"
"42067",Juniata,Pennsylvania,"1052576","79821","0"
"42091",Montgomery,Pennsylvania,"1330924","71233","0"
"42111",Somerset,Pennsylvania,"2926461","184364","0"
"45005",Allendale,South Carolina,"1005107","182293","0"
"45019",Charleston,South Carolina,"1259908","1688658","0"
"45025",Chesterfield,South Carolina,"2055456","263558","0"
"45043",Georgetown,South Carolina,"1367188","1142249","0"
"45063",Lexington,South Carolina,"1891799","288467","0"
