GEOID,county,state,HISTO_0,HISTO_11,HISTO_12,HISTO_22,HISTO_23,HISTO_21,HISTO_95,HISTO_90,HISTO_82,HISTO_81,HISTO_71,HISTO_52,HISTO_43,HISTO_42,HISTO_24,HISTO_31,HISTO_41
"21007",Ballard,Kentucky,"0","60429","0","2896","786","28942","13731","110573","361000","76881","652","210","2362","695","432","2957","124722"
"21017",Bourbon,Kentucky,"0","2357","0","8130","2446","29158","279","7","19938","691230","621","19","16633","160","672","324","67224"
"21031",Butler,Kentucky,"0","10675","0","3633","1099","49876","6598","11737","154395","222795","12657","1387","151304","8119","276","716","606722"
"21065",Estill,Kentucky,"0","4863","0","12705","2635","23581","150","659","6267","117301","4141","1055","94533","3007","732","1160","462999"
"21069",Fleming,Kentucky,"0","2971","0","9877","1887","33794","280","116","35466","489709","7225","1053","70735","10251","596","1532","345515"
"21093",Hardin,Kentucky,"0","8310","0","33431","15118","96243","711","27519","256138","493814","7951","613","182509","41496","6025","5404","638603"
"21099",Hart,Kentucky,"0","9819","0","4945","1374","53759","144","999","43902","402293","6691","805","153201","48557","319","513","475023"
"21131",Leslie,Kentucky,"0","3160","0","8113","1944","40997","4","29","7","3537","20449","9146","88265","306","123","16443","971312"
"21151",Madison,Kentucky,"0","7709","0","35630","14143","66229","164","610","3105","637817","3566","666","144068","17109","4000","4731","336006"
"21155",Marion,Kentucky,"0","2353","0","5682","1983","34982","92","52","100048","393093","3013","125","99387","7852","1123","2394","346047"
"21179",Nelson,Kentucky,"0","5770","0","11800","4648","52306","653","4145","127411","422602","6177","289","110109","23433","1992","1494","447559"
"17091",Kankakee,Illinois,"0","14465","0","97740","21074","57378","3330","16900","1607204","36295","16236","1547","16643","360","7362","4202","59735"
"17187",Warren,Illinois,"0","3346","0","37960","9146","35270","32","1520","1235011","105259","258","22","12813","99","1575","740","119574"
"17197",Will,Illinois,"0","59433","0","326583","128636","134288","17951","72653","1207040","135807","96444","2876","14233","1104","41874","29230","175770"
"18027",Daviess,Indiana,"0","24128","0","13299","3540","53882","1810","17696","753497","163301","2716","140","23269","1256","1527","3266","193858"
"18061",Harrison,Indiana,"0","9000","0","7511","2507","65988","462","2914","213703","355539","4910","336","107025","15399","791","2717","611425"
"01001",Autauga,Alabama,"0","23948","0","22139","5714","63125","14427","167580","51317","320832","85579","146663","244950","312341","1564","2602","276460"
"01005",Barbour,Alabama,"0","63112","0","19822","5268","71960","4595","202866","114073","263733","73765","218665","527123","744797","1547","4820","286674"
"01023",Choctaw,Alabama,"0","22827","0","6669","1676","70961","15270","438456","3515","99516","172766","224199","636563","785212","418","3188","169350"
"01035",Conecuh,Alabama,"0","8525","0","10104","1534","62895","14619","294941","42019","238861","134978","204389","439156","844027","420","3393","154617"
"01051",Elmore,Alabama,"0","106664","0","27184","6856","99934","9039","109905","75463","302259","50935","65521","236572","285308","1354","4845","508974"
"01055",Etowah,Alabama,"0","42607","0","71624","16775","124997","2759","28364","36111","384636","23007","48183","169230","118701","8459","2511","501100"
"01065",Hale,Alabama,"0","79606","0","7671","1225","60154","17027","367743","22801","466395","32768","50640","317316","229461","248","372","235028"
"01089",Madison,Alabama,"0","22830","0","174171","41213","214978","7323","173011","394210","556473","7235","9585","58564","65072","17133","2344","594756"
"01113",Russell,Alabama,"0","25679","0","31867","10521","65377","5695","197439","66097","154589","62364","157782","318524","447196","3570","3448","312642"
"01117",Shelby,Alabama,"0","51669","0","78577","23773","147178","2089","70100","25529","262286","126906","71815","172791","472678","8555","16957","798596"
"05011",Bradley,Arkansas,"0","12616","0","43409","3620","37226","11961","639142","7095","65588","85529","95149","16782","815431","858","1102","43358"
"05015",Carroll,Arkansas,"0","26774","0","18818","3627","74322","126","1309","0","695401","5777","2080","112412","87266","898","2561","806112"
"05019",Clark,Arkansas,"0","52566","0","23392","5034","78601","2304","327033","52028","239140","107006","70870","203553","1099611","1434","3379","274814"
"05025",Cleveland,Arkansas,"0","5607","0","33043","1754","30160","9661","560806","2950","75287","53391","71960","15033","796311","378","310","66387"
"05063",Independence,Arkansas,"0","27129","0","29692","6219","68729","1410","55325","318440","583926","22256","3464","251193","67810","3127","9415","772339"
"05067",Jackson,Arkansas,"0","28186","0","13504","3764","63363","5308","194286","1366835","43637","2203","543","23850","2252","1281","1872","94745"
"05121",Randolph,Arkansas,"0","18782","0","10963","1941","61422","1149","93954","379457","409412","13970","2004","178786","12098","726","2543","700682"
"06001",Alameda,California,"0","106296","0","141513","316640","127530","46124","2764","29499","2229","570139","324540","340073","36016","107218","9017","706"
"06003",Alpine,California,"0","14163","0","4321","569","9021","19227","9479","0","2242","30660","1122020","1419","912999","10","8217","3921"
"06005",Amador,California,"0","25608","0","15012","4803","38238","1284","682","11492","7584","364077","474523","38666","706049","1176","1854","52861"
"06013",Contra Costa,California,"0","121906","0","202562","214881","237134","43894","4573","237884","14931","486282","251832","293092","28806","47643","3728","377"
"06019",Fresno,California,"0","143385","5530","227870","219049","345538","58659","21182","5937048","64978","2971930","2895415","119138","3642125","60651","571443","14417"
"06023",Humboldt,California,"0","136182","0","55339","33297","506391","85229","20095","638","183525","753399","931300","694998","6540888","3801","61141","384864"
"06033",Lake,California,"0","199911","0","28416","3980","196574","12257","8668","9995","15743","351449","1794198","289107","860981","848","10752","42703"
"06037",Los Angeles,California,"0","97483","0","901410","1467089","820150","27860","25500","37597","212187","752498","5817647","266437","688593","534223","152760","327"
"06047",Merced,California,"0","83003","0","79996","48616","150400","482596","19083","2515608","87547","1985897","129088","77340","2196","7528","24963","406"
