GEOID,county,state,HISTO_2,HISTO_1,HISTO_3,HISTO_4,HISTO_5
"21007",Ballard,Kentucky,"303","355464","283632","0","77905"
"21017",Bourbon,Kentucky,"318816","231974","248862","0","36500"
"21031",Butler,Kentucky,"663732","13172","510725","0","41968"
"21065",Estill,Kentucky,"166385","448906","112391","0","1775"
"21069",Fleming,Kentucky,"200285","512478","276128","0","18466"
"21093",Hardin,Kentucky,"1171252","135764","366857","0","127743"
"21099",Hart,Kentucky,"487709","329598","247957","0","125538"
"21131",Leslie,Kentucky,"0","1049473","84585","0","15535"
"21151",Madison,Kentucky,"676735","324715","238871","0","24360"
"21155",Marion,Kentucky,"424402","184424","359510","0","27089"
"21179",Nelson,Kentucky,"540452","228986","405517","0","38381"
"17091",Kankakee,Illinois,"1634840","279317","4472","0","24917"
"17187",Warren,Illinois,"1173598","357614","137","0","27298"
"17197",Will,Illinois,"1570635","782200","12365","0","8501"
"18027",Daviess,Indiana,"228884","21011","770654","0","211415"
"18061",Harrison,Indiana,"283669","459413","555494","0","91623"
"01001",Autauga,Alabama,"0","1133034","497270","0","76272"
"01005",Barbour,Alabama,"99","1703595","712647","0","105043"
"01023",Choctaw,Alabama,"0","1616654","884828","0","116289"
"01035",Conecuh,Alabama,"0","1799420","613365","0","28207"
"01051",Elmore,Alabama,"0","1109565","562358","0","96206"
"01055",Etowah,Alabama,"16239","912972","596509","0","3976"
"01065",Hale,Alabama,"0","747181","862309","0","182582"
"01089",Madison,Alabama,"797798","629976","866141","0","9879"
"01113",Russell,Alabama,"233","1105785","687984","0","34736"
"01117",Shelby,Alabama,"601","1545332","702418","0","5475"
"05011",Bradley,Arkansas,"99","1238151","623634","0","4"
"05015",Carroll,Arkansas,"115","1803739","6454","0","0"
"05019",Clark,Arkansas,"214","1810348","671142","0","1885"
"05025",Cleveland,Arkansas,"12","1206887","509271","0","1"
"05063",Independence,Arkansas,"1472","1765889","414842","0","10459"
"05067",Jackson,Arkansas,"401","376551","1291997","0","140752"
"05121",Randolph,Arkansas,"12","1499294","321063","0","50107"
"06001",Alameda,California,"725417","827516","77996","406119","3981"
